,text,labels
119,"দুঃখিত, এই সব ""প্রতারণা"" বলে আর ফিরে আসেনি। আমি ""স্বর পরিবর্তন"", """" হৃদয় পরিবর্তন, ""কিছুই"" সম্পর্কে কোন ধাক্কা দেয় না। আপনি মুঠা fuckers একটি গুরুতর পরিস্থিতি গ্রহণ এবং কেবল একটি ধর্মান্ধতা রক্ষার জন্য সমস্ত বিপন্ন। তোমাকে চুদব। দুঃখিত না. করোনাভাইরাস",0
120,"গতকাল রাতে উত্তর দিল্লির বিজয় নগর এলাকায় মণিপুরের এক মহিলাকে ঝাঁকুনি দিয়ে তাকে ""করোন"" বলে অভিযুক্ত ব্যক্তির বিরুদ্ধে দিল্লি পুলিশ ভারতীয় দণ্ডবিধির ৫০৯ ধারায় মামলা করেছে। URL",1
121,"ভুয়া খবর প্যাডলার ধ্রুব রাথি বলেছিলেন: ""করোনার ভাইরাস চীনের বাইরে ছড়াবে না, আমাদের চিন্তার দরকার নেই"" এই লোকটি কি কখনও বুদ্ধিমান কিছু বলেছে? URL",1
122,কানবোতে  covid19 এর একটি ঘটনা সম্পর্কে প্রচারিত এই ফটোটি মিথ্যা হিসাবে অভিযোগ করা হয়েছে এই চিত্রটি ভয় এবং আতঙ্ক ছড়ানোর জন্য ডক্টর করা হয়েছে নিশ্চিত হওয়া মামলার বিবরণগুলি URL factsnotfear  covid19 নাইজেরিয়া URL এর মাধ্যমে পাওয়া যাবে : //t.co/hq9ddl9n9s,1
123,"সেন। র্যান্ড পল, যে ব্যক্তি  করোন ভাইরাস ত্রাণ বিলের বিরোধিতা করেছিলেন এবং অসুস্থ ছুটি দিয়েছিলেন, তিনি 22 মার্চ ইতিবাচক পরীক্ষা করেছিলেন এবং তিনি তার পিতা অসুস্থ হয়ে পড়েন, এবং প্রাক্তন কংগ্রেস সদস্য, রন পল, ""করোনাভাইরাস হাক্স"" শীর্ষক একটি প্রবন্ধ প্রকাশ করেছিলেন। মার্চ 17. ভণ্ডামি মূল থেকে সংক্রামিত হয় URL",1
124,"কখনই ভুলে যাবেন না .. যখন ভারত করোনার সাথে লড়াই করছিল, কবে কংগ্রেস প্রচারের জন্য আতঙ্ক তৈরি করতে @ভিনোদকাপ্রির মতো শূকরগুলি ফেক নিউজ ভাগ করে নিচ্ছিল। পিপিই এর কোনও অভাব নেই। আসাম মেডিকেল কলেজের শিক্ষার্থীরা পিপিই পরীক্ষা করছিলেন যে অভাব দেখা দিলে কী ব্যবহার করা যায়। URL",1
125,ফক্স নিউজ তাদের দর্শকদের ঝুঁকির মধ্যে ফেলে তাদের বিশ্বাস করে যে covid-19 মহামারীটি একটি প্রতারণা। এই দর্শকরা তখন পুরো মার্কিন জনসংখ্যাকে ঝুঁকির মধ্যে ফেলে এবং অনেক লোক প্রাণ হারিয়েছে। ফক্স নিউজকে দায়বদ্ধ করার জন্য একটি শ্রেণিবদ্ধ মামলা মোকদ্দমার মুখোমুখি হওয়া উচিত। foxclassaction,0
126,"এটি কোনও ষড়যন্ত্রের টুইট নয় তবে আমি সত্যিই মনে করি covid-19 কিছুক্ষণ এখানে আমেরিকাতে এসেছিল। আপনি ছেলেরা কি জানবেন যে ছুটির দিনে / জানুয়ারীর প্রথম দিকে সবাই কতটা অসুস্থ ছিল? এবং সবাই কীভাবে বলছিল যে তাদের ""ফ্লু"" আছে এবং ফ্লু শটটি ""কাজ করে না""?",0
127,ফক্স নিউজ দাবি করেছে যে এটিকে কখনই covid-19 কে ফাঁকিবাজি বলা হয়নি। প্রাপ্তি যাচাই করা যাক। URL,1
129,শিকাগোর বাইরে এখনই,0
130,"করোনাভাইরাস: অল্টনিউজের প্রতিষ্ঠাতা, শেখর গুপ্তা এবং অন্যরা একটি জাল টুইটার অ্যাকাউন্টের মাধ্যমে যাচাই করা দাবি ছড়িয়ে দিয়েছে URL",1
131,তথ্য মন্ত্রণালয়ের একটি বার্তা “জেনারেল পাবলিককে হোয়াটসঅ্যাপে প্রচারিত যে কোনও ভয়েস নোটকে উপেক্ষা করার জন্য অনুরোধ করা হয়েছে যে একটি হেলিকপ্টার রাত ১১ টা নাগাদ সারা জাতির জুড়ে‘ অ্যান্টিভাইরাস ’স্প্রে করবে। এই সংবাদটি নকল এবং এটি সম্পূর্ণরূপে উপেক্ষা করা উচিত। আরটি  covid19,1
134,চীনা কমিউনিস্ট পার্টি রাজনৈতিক উদ্দেশ্যে বিশ্ব থেকে  covid19 প্রাদুর্ভাব সম্পর্কে তথ্যকে দমন করেছে। জবাবদিহিতা নেওয়ার পরিবর্তে তারা সক্রিয়ভাবে মার্কিন যুক্তরাষ্ট্রের বিরুদ্ধে ষড়যন্ত্র তত্ত্ব প্রচার প্রচার চালাচ্ছে। ।: @axios / @hbo URL,1
135,শীর্ষ  covid19 - ফেসপ্যাম ডক্টর নামিরা 1 ডাঃ এইচটি ওঙ্গ. কার্ডিওলজিস্ট পেনাং। সিটি কাউন্সিলের বিরোধীরা সময়ের জন্য এমসিও 2 অনুশীলনের জন্য ডাঃ অ্যাডাম। মারার জন্য গরম জল পান করুন। জাল তথ্য। সিউডোসায়েন্স মিথ্যা আশ্বাস 3 ওসমান ডা। পরীক্ষা প্রত্যাখ্যান। চলমান তালিকা URL তার চারপাশের সবাইকে সংক্রামিত করুন,0
136,[কোনও একক টুইটের সাথে বিশদ দিয়ে আবার টুইট করা যাতে কোনও বিপদাশঙ্কা নেই] কেবলমাত্র: ৩৮-বছর-বয়সী  কোভিড ১৯ পজিটিভ লোক পাটনায় মারা গেছেন। কিডনিতে মারাত্মক সমস্যা রয়েছে যা কাতার থেকে ফিরে আসার পরেই রেনাল ব্যর্থ হতে দেয়। প্রবীণ নাগরিক নন এমন একজনের মৃত্যুকে এটি প্রথম ‘ভাইরাস-সংযুক্ত’ করে তোলে।,1
138," ফেকনিউজ প্লেবুক। কিউ পোস্টের উপরে ""মিথ্যা"" শব্দটি বড় বেগুনি বর্ণগুলিতে রাখুন যাতে স্পষ্টভাবে বোঝা যায় যে  কোভিড 19 মহামারীটি কোনও দুর্ঘটনা হতে পারে না, এই আশায় যে ট্রাম্প যেভাবে ক্ষতিগ্রস্থ করেছেন তার সমস্ত উপায় জনসাধারণ দেখতে পাবেন না। URL",0
139,"""কেউ আমার কাছে যেতে চায় না।"" নাইজেরিয়া তার প্রথম ইতিবাচক  covid19 কেস রেকর্ড করার পরে, একটি গল্প সোশ্যাল মিডিয়ায় ভাইরাল হয়েছিল। এটি দাবি করেছে যে রোগীর ট্যাক্সি ড্রাইভার রোগ ছড়িয়ে না দেওয়ার জন্য অর্থ দাবি করছেন। গল্পটি নকল ছিল, তবে জুডের উপর প্রভাবটি খুব বাস্তব ছিল। URL",1
141,আমি ভাবতে শুরু করছিলাম করোনাভাইরাস ভয়-অভিজাত করা আসলেই উদ্বিগ্ন হওয়ার মতো কিছু। তারপরে পেলোসির এই পদক্ষেপটি ঘটেছিল এবং এটি সমস্ত আবার স্পষ্ট হয়ে যায়। covid-19 একটি প্রতারণা।,1
142,"ট্রাম্পের করোনার সংকট পরিচালনা করার সময়রেখা: এক মাস আগে: এটি একটি প্রতারণা। উপচে পড়া দুই সপ্তাহ আগে: এটি গুরুতর। এর বিস্তার রোধ করতে আমাদের অবশ্যই পদক্ষেপ নিতে হবে। এই সপ্তাহে: দ্বিতীয় মুহুর্তে আহ, সম্ভবত এক মিলিয়ন বা তার বেশি আমেরিকান মারা যাচ্ছে * যে খারাপ নয়",1
144," covid19 আক্রান্ত রোগীদের হালকা থেকে গুরুতর শ্বাসযন্ত্রের অসুস্থতা রয়েছে বলে জানা গেছে। লক্ষণগুলির মধ্যে রয়েছে জ্বর, কাশি বা শ্বাসকষ্ট। covid-19 উপসর্গ সম্পর্কে আরও জানুন: URL URL",1
145,হাঙ্গেরিয়ান বিচারপতি মিন। @ জুডিত ভার্গা_ইউ সংসদে বিল পাঠায়: - জরুরী অবস্থা ২০২০ সালের শেষ হওয়া পর্যন্ত - ডিক্রির মাধ্যমে বিধি-বিধান - সংসদ স্থগিত - কোনও তাত্পর্যপূর্ণ নির্বাচন / গণভোট নয় - জাল খবর এবং গুজব ছড়িয়ে পাঁচ বছরের কারাদন্ডে দণ্ডনীয়  covid19 URL // t। কো / 1qjalakp6j,1
147,"লজ্জাজনক যে আপনার খ্যাতির একজন ব্যক্তি ভারত এবং এর traditionsতিহ্যের প্রতি অন্ধ ঘৃণা করে ভুয়া সংবাদ / গুজব ছড়ায়। শ্রদ্ধার নিদর্শন হিসাবে ভারত প্রধানমন্ত্রী, নরেন্দ্রমোড়ির ডাকের ডাক্তার, স্বাস্থ্য এবং জরুরী কর্মীদের প্রশংসা করার জন্য বারান্দায় উঠে এসেছিল। অন্য কোন কারণ ছিল না। ফ্যাক্ট চেক?",1
150,"আমার জালিয়াতির সতর্কতাটি আজ সকালে প্রকাশিত হয়েছে, দয়া করে পড়ুন এবং ভাগ করুন - ফ্র্যাঙ্ক ফিগলিউজি: করোনাভাইরাস কেলেঙ্কারী সতর্কতা: জাল স্টারবাক্স কুপন থেকে করদাতাদের জালিয়াতি পর্যন্ত কনসটি ভাইরাল হয়ে উঠছে @ এনবিসি নিউজথিনকে @ এমএসএনবিসি  করোনভাইরাস URL",1
151,একটি অনলাইন ওয়েবসাইট ভ্রান্তভাবে জানিয়েছে যে  কোভিড ১৯ দ্বারা সৃষ্ট সঙ্কট মোকাবেলায় সরকার ভারতে আর্থিক জরুরি অবস্থা জারি করতে পারে। দয়া করে পরামর্শ দিন যে গল্পটি দূষিত এবং জাল এবং এরকম কোনও পরিকল্পনা নেই। URL,1
152,"""চীন এবং ডব্লিউএইচওর প্রধান: তাদের উভয়কেই মহামারী হিসাবে জবাবদিহি করুন"": কীভাবে @who প্রধান @ ডিডিট্রোস অভিযোগ করেছেন যে কীভাবে চীনা প্রেসিডেন্ট  শি জিনপিং জানুয়ারিতে সপ্তাহের জন্য  সিভিআইডি 19 এর পুরো পরিধি গোপনে সহায়তা করেছিলেন, বিশ্বব্যাপী বিপর্যয় সৃষ্টি করেছিল। পড়ুন! URL",1
153,এক মিলিয়ন দিরহাম জরিমানা। সামাজিক যোগাযোগ মাধ্যম বা হোয়াটসঅ্যাপে  করোনো ভাইরাস সম্পর্কে কোনও অবিশ্বস্ত বা  ফেকনিউজ ভাগ করে নেওয়ার জন্য  ইউএই থেকে 5 বছরের জেল এবং নির্বাসন এবং আজীবনের নিষেধাজ্ঞা।  ইউএই সরকার এই মহামারীটির সময় আমি সবচেয়ে সেরা ঘোষণাটি শুনেছি। আমরা কি  পাকিস্তানে এটি করতে পারি?,1
154,এখনও অবধি আমি আমার কাছে 2 পিপিএল জানি যা করোনার জন্য ইতিবাচক পরীক্ষা করেছে। দুজনই হাসপাতালে নিউমোনিয়া থেকে সুস্থ হয়ে উঠছেন। এটি কোনও খেলা বা ষড়যন্ত্র নয়। পিপিএল এর শুভকামনা ইত্যাদির দরকার নেই ... তাদের ঘরে থাকা আপনার দরকার,1
155, ফেকনিউজ সতর্কতা  পিআইবিফ্যাক্ট চেক: প্যারাসিটামল  করোন ভাইরাস সংক্রমণের চিকিত্সা করতে পারে এমন দাবি মিথ্যা!  কোভিড ১৯ ইন্ডিয়াতে  মিথ্যা প্রতিকারগুলি ভাগ করা থেকে সাবধান থাকুন।  coronavirusinindia সম্পর্কিত খাঁটি তথ্যের জন্য অনুসরণ করুন,1
156,"কভিড -১৯ উদ্বেগের জের ধরে কারাগারের প্রথম দিকে মুক্তি দেওয়া হয়েছিল বলে অভিযোগ করা হয়েছে যে তিনি মহিলার বাড়িতে প্রবেশ করেছিলেন, তাকে নাইটপয়েন্টে বেঁধে রেখেছিলেন এবং হত্যার হুমকি দিয়েছেন URL",1
157, করোনো ভাইরাস ফ্যাক্ট চেক হপ চালু আছে এবং আরটি যদি আপনি ডিজেটি সমর্থন @ রিয়েলডোনাল্ড ট্রাম্প আরটি এই টুইটটি your আপনার হ্যান্ডেল সহ কমেন্ট করুন যারা মন্তব্য করেন তাদের অনুসরণ করুন বুকমার্ক / ফিরে আসুন অনুসরণ করুন @ ভ্যানারসে 1212  করোনভিপাস_পেকিউমেসেক  //t.co/neazarxgzr,0
158,"নমস্করম, এই বার্তা সদ্‌গুরুর নয়। এটি হোয়াটসঅ্যাপে প্রচারিত একটি নকল বার্তা। আমরা আপনাকে এই টুইটগুলি মুছে ফেলার জন্য অনুরোধ করছি।",1
159,"খবর হ'ল জানুয়ারী থেকে শ্রেণিবদ্ধ সুরক্ষা ব্রিফিং ট্রাম্পকে জানিয়েছিল যে একটি মহামারী আসছে। ট্রাম্প কিছুই করেননি, আমাদের বলেছিলেন এটি একটি ""ডেমোক্র্যাট হ্যাক্স"" এবং পনেরোটি মামলা শীঘ্রই কোনও হবে না। থ্রেড। coronavirus trumppandemic trumpliespeopledie URL",1
160,"ট্রাম্পের সিদ্ধান্তহীন নয় এবং  covid19 কে একটি ""ছলনা"" বলার সিদ্ধান্ত অযথাই লক্ষ লক্ষ ব্যক্তিকে উন্মোচিত করেছে যারা সঠিকভাবে সচেতন হলে ব্যবস্থা গ্রহণ করতে পারে। রক্তের এমন একটি নদী থাকবে যা ট্রাম্পের ক্ষুদ্র হাতকে চিরকাল দাগ দেবে।",1
161,"ট্রাম্প বলেছেন  করোনভাইরাসকে আমরা ""প্রথম দিকে""। 2/26 ""15 দিনের মধ্যে 15 জন (লোক) নীচে নেমে যাচ্ছে 0"" 2/28 ""একদিন, এটি একটি অলৌকিক ঘটনা, এটি অদৃশ্য হয়ে যাবে"" 2/28 ""এটি তাদের নতুন প্রতারণা"" 3/12 ""এটি চলে যাচ্ছে"" হ্যাঁ। আমরা খুব তাড়াতাড়ি ছিলাম",1
163,ম্যাডো - যে মহিলা 4 বছর ধরে মিথ্যা এবং বন্য ষড়যন্ত্রের তত্ত্বগুলি প্যাড করেছেন - ট্রাম্পকে তার covid-19 প্রেসারদের জিরো স্ব-সচেতনতা বন্ধ করার জন্য আহ্বান জানাচ্ছেন। URL,1
165,"এটিকে উদারপন্থী গণমাধ্যমে একটি প্রেসিডেন্সিয়াল হাততালি বলা হয়। রাষ্ট্রপতি @ রিয়েলডোনাল্ড ট্রাম্প বলেছেন আমেরিকান জনগণ এই মিডিয়া সংবেদনশীলতা নয়, আশা এবং উত্তর খুঁজছেন! এই  করোনভাইরাস চলাকালীন আমেরিকান জনগণের পক্ষে লড়াই করার জন্য আপনাকে ধন্যবাদ।  ফেকনিউজ URL এ লড়াই করুন",1
166,"আমি পুনরায় বলছি ... চীন 2019 এর ডিসি-তে নিউ করোনার ভাইরাস সম্পর্কে ডাব্লুএইচওকে সতর্ক করেছে ... মার্কিন রাষ্ট্রপতি প্রায় 10 দিন আগে পর্যন্ত এটি ""hoax"" হিসাবে অভিহিত করেছেন !!!",1
167, করোনভাইরাসটিতে ভুল তথ্য /  ফেকনিউজকে নিয়ন্ত্রণে ভারত সরকার সমস্ত সোশ্যাল মিডিয়া প্ল্যাটফর্মগুলিতে পরামর্শ প্রদান করে। যেহেতু  ইন্ডিয়াফাইটসকোর্না  করোনোওয়ারিয়ার্সের লিগে যোগ দিয়েছে একটি সন্দেহজনক ফরোয়ার্ডকে  ফেক:  আমাদের হোয়াটসঅ্যাপ: +91 87997 11259 | p- pibfactcheck@gmail.com URL,1
168,"আমরা গুজব পছন্দ করি না। দয়া করে এগুলি ছড়িয়ে দেবেন না। যদি আপনি লোকদের বলছেন যে নাট। গার্ড সামরিক আইন চাপাতে চলেছে, দয়া করে থামুন। এটা সত্য নয়. তারা চিকিত্সা সরবরাহ বিতরণ সাহায্য ব্যস্ত হয়। অনুগ্রহ করে এবং ধন্যবাদ.  covid19 kckpd commonsense  norurors URL",1
169,কংগ্রেস জেনারেল সিকি এমএস @ প্রিয়ঙ্কাগন্ধি মানুষকে আতঙ্কিত না হতে বলে; জাল খবর ছড়িয়ে দেবেন না; সাবধানতা অবলম্বন করুন এবং হাত ধোয়া ...  করোনার URL,1
170,"আমি এএমওসিএতে 14 ই মার্চ একো হোটেলে অংশ নিয়েছি। এমনকি পার্টি পরে। গুজব শুরু হওয়ার একদিন পর আমি নিজেকে আলাদা করে নেওয়ার সিদ্ধান্ত নিয়েছি, ভোর সকাল আমার ঘরে প্রতিদিন সকালে ওয়ার্ক আউট হয়। আমি 14 দিনের বিচ্ছিন্নতা কালকে মান্য করেছি। 9 দিন এখন। ভালবাসা এবং হালকা বলছি। ।  কোভিড 19 আউট",1
171,রসুন সুস্বাদু হতে পারে তবে এটি আপনাকে নতুন  করোনভাইরাস থেকে রক্ষা করবে না। গুজব ছড়াবেন না।  covid19 এর বিরুদ্ধে লড়াইও ডিসিনোফর্মেশনের বিরুদ্ধে লড়াই। shareinifications shareknowledge stayathomechallenge URL,1
172,"নাইজেরিয়ার শাসক শ্রেণীর জন্য আমি কখনও আমার ঘৃণা ও ঘৃণা গোপন করি নি। আমি এখনই ভুয়া সহানুভূতি দিয়ে শুরু করব না, তাদের চেয়ে বেশি কী আসবে তা পাওয়ার যোগ্য কেউ নেই। আমি আশা করি করোনার ভাইরাস পুরোপুরি কাজ করবে।",0
173,"ফ্লু সিজন নিম্নমুখী হচ্ছে এবং উষ্ণ আবহাওয়া ফিরছে। বিশেষজ্ঞরা পূর্বাভাস দিয়েছেন 70% আমেরিকান  covid19 এ সংক্রামিত হবে। সক্রিয় .005% ছিল। এটি খুব মিস করেছেন।  ফয়ারপর্ন, এটি নতুন  ফেকনিউজ।",1
174,"@ এওসি-র মিথ্যা সংশোধন করতে ব্যর্থ হওয়ার পরে যে প্রেসিডেন্ট ট্রাম্প  করোনভাইরাসকে ""প্রতারণা"" বলেছেন, @ সিএনএন-এর জ্যাক টাপার স্বীকার করেছেন যে তিনি জানেন যে ""রাষ্ট্রপতি ভাইরাসটিকে প্রতারণা করেননি।"" আজ @ টমফ্রিডম্যান একই মিথ্যা পুনরাবৃত্তি করেছে। টেপার তাকে সংশোধন করেনি। URL  ফ্যাক্টস ফার্স্ট URL",1
175,"যদি আমাদের ""নেতারা"" না চান যে লোকেরা বিশ্বাস করতে শুরু করে যে এটি সমস্ত ধোঁকা, তারা সর্বোত্তমভাবে এটি দিয়ে রাজনীতি করা বন্ধ করে দেয়। বাস্তব বিশ্বের ধৈর্য এবং বিশ্বাস পাতলা পরা হয়। @ স্পিকারপেলোসি @ সিনেটডেমস  চিনিজ ভাইরাস  covid19  করোনভাইরাস",0
176,"এই লোকটি মিথ্যা ও ভুয়া খবর ছড়াচ্ছে। প্রিয় দায়ী মালয়েশিয়ানরা, দয়া করে তাকে URL এ প্রতিবেদন করুন। ধন্যবাদ.",1
177,চীনা কমিউনিস্ট শাসনকর্তার সিনিয়র প্রচারক আরও ষড়যন্ত্র তত্ত্ব ছড়িয়ে দিয়েছেন। একই ডিকহেড যিনি বলেছিলেন ভাইরাসটির উৎপত্তি মার্কিন যুক্তরাষ্ট্রে। চীনে টুইটার নিষিদ্ধ থাকা সত্ত্বেও টুইটার চীনা সরকার কর্মকর্তাদের তাদের প্ল্যাটফর্মে অনুমতি দেয়।,1
178,তাকে সংশোধন করুন এবং চুপ করুন কারণ আপনি তাকে গ্রেপ্তার করতে পারবেন না !!! এই প্ল্যাটফর্মে আপনি কতগুলি গুজব ছড়িয়েছেন। তুমি কে?,0
179,"বিহারে প্রথম কভিড -১৯ এর মৃত্যুর খবর পাওয়া গেছে: কাতারে ভ্রমণের ইতিহাসের 38 বছর বয়সী এক ব্যক্তি পাটনার এইমস এ মারা গেছেন, হাসপাতালের কর্মকর্তা বলেছেন",1
180,"বিহার: ৩৩ বছর বয়সী এই ব্যক্তি যিনি পাটনার এইমস-এ ইন্তেকাল করেছেন এবং  covid19 এর জন্য ইতিবাচক পরীক্ষা করেছেন, তার কাতারে বিদেশ ভ্রমণ ছিল।",1
181," কাতর হাজারো মানুষের জন্য একটি হাসপাতাল প্রস্তুত করতে অস্বীকার করেছেন  করোনো ভাইরাস সংক্রামিত অভিবাসী শ্রমিকদের এর মাটিতে, পরিবর্তে, তাদের বিনা চিকিৎসায় বিনা পশুর আশ্রয়কেন্দ্রে আটকে রেখেছে! অভিবাসী শ্রমিকরা দাস নয়, তাদের অধিকার আছে! চুপ থাকার জন্য  হিউম্যানআরাইটস অর্গজেস!",1
182,"নতুন  সিসিডক্রভ্যালনোটিকস:  কভিড ১৯ রোমানিয়া, কাতার, সিঙ্গাপুর, সৌদি আরব, ফিলিপাইন, ইকুয়েডর, দক্ষিণ আফ্রিকা, ইন্দোনেশিয়া এবং ভারতে। এই অঞ্চলগুলিতে সমস্ত অযৌক্তিক ভ্রমণ এড়িয়ে চলুন। আরও তথ্য: URL URL",1
184,বিহারে প্রথম করোনার মৃত্যু। ৩৮ বছর বয়সী সাইফ আলি গত রাতে পাটনার এইমস শহরে মারা যান। কিছুদিন আগে তিনি কাতার থেকে ফিরে এসেছিলেন।,1
185,বিহার:  করোনাভাইরাসের কারণে 38 বছর বয়সী এক ব্যক্তি এইমস পাটনায় মারা গিয়েছিলেন। তিনি কাতার থেকে ফিরে এসে 20 মার্চ হাসপাতালে ভর্তি হয়েছিলেন।  করোনো ভাইরাস আপডেট URL,1
186,রুয়ান্ডা 17 টি নতুন covid-19 কে মোট 36 টির মধ্যে আনার বিষয়টি নিশ্চিত করেছে dubai কেনিয়া থেকে 3 জন ভ্রমণকারী। মার্কিন যুক্তরাষ্ট্র থেকে 3 জন ভ্রমণকারী। কাতার থেকে 1 জন ভ্রমণকারী। ভারত থেকে 1 জন ভ্রমণকারী। পূর্ববর্তী মামলার 1 টি যোগাযোগ URL,1
187,এগুলি হ'ল বিশ্বকাপের ২০২২ কর্মীরা কাতারের শোচনীয় পরিস্থিতিতে কোয়ারান্টেড .. এটি অমানবিক .. @ ফিফাকম কি এই অপরাধটিকে মেনে নিয়েছে? @fifaworldcup @fifaworldcup_fr @easportsfifa @eififadirect @fifamedia @fifacom_fr coronavirus  কোভিড_19 URL,1
188,"অ্যামনেস্টি বলেছে যে কাতার ক্যারান @ ফিফা ওয়ার্ল্ডকুপের মতো প্রকল্পে কাজ করে  করোনভাইরাসটিতে আক্রান্ত শ্রমিকদের জন্য হাসপাতাল তৈরি করতে অস্বীকৃতি জানিয়েছে। অ্যামনেস্টি ""শ্রম শিবির"" এর ভিতরে কাতারের শ্রমিকদের বসবাসের অনেকগুলি ঘটনা নিশ্চিত করেছেন। আমি এই দিন আগে সম্পর্কে সতর্ক করেছিলাম।  কোরোনভাইরাস @ ফিফা কমমের হাতে রক্ত ​​রয়েছে",1
189,@ ভিসেনিউজের জন্য ইতালির প্রাদুর্ভাবের কেন্দ্রস্থল মিলানে  করোনভাইরাস এবং লম্বার্ডি-র প্রতিবেদন করার পরে আমি জেএফকে পৌঁছেছি। আমি মার্কিন কাস্টমস দিয়ে ডান হাঁটা। তারা আমাকে জিজ্ঞাসা করেনি আমি ইতালি কোথায় গিয়েছি বা আমি অসুস্থ মানুষের সংস্পর্শে এসেছি কিনা। তারা আমাকে কিছুই জিজ্ঞাসা করেনি।,1
190,"অ্যালার্ট‼ ‼ ‼ টাকার মাধ্যমে করোনার ভাইরাস ছড়িয়ে যেতে পারে। আপনার যদি বাড়িতে কোনও টাকা থাকে তবে কিছু গ্লোভস লাগান, সমস্ত টাকা একটি প্লাস্টিকের ব্যাগে রেখে দিন এবং আজ রাতে সামনের দরজার বাইরে রেখে দিন। আমি আজ রাতে সমস্ত প্লাস্টিকের ব্যাগগুলি সুরক্ষার জন্য সংগ্রহ করছি। আপনার স্বাস্থ্য সম্পর্কে চিন্তা করুন।",1
191,covid-19 স্বাস্থ্য পরামর্শ URL,0
192,"hচিনি চিকিত্সকরা বলছেন যে  করোনভাইরাস আক্রান্তদের ময়নাতদন্তগুলি পরামর্শ দেয় যে  সিওভিড 19 ""# এসএআরএস এবং  এইডসের সংমিশ্রণের মতো কারণ এটি ফুসফুস এবং প্রতিরোধ ক্ষমতা উভয়কেই ক্ষতি করে,"" এবং রোগী বেঁচে থাকলেও ""অপরিবর্তনীয়"" ফুসফুসের ক্ষতির কারণ হতে পারে। @ থেস্পাইব্রিফ URL",1
193,। @ ন্যাশনালনার্সের রাষ্ট্রপতি দেবোরা বার্গার আমাদের ক্যারাওটেইন্ডড  নুরেন্সের একজন যারা একটি উত্তর ক্যালিফোর্নিয়া কায়সার সুবিধায় কাজ করেন তার একটি প্রকাশ্য বিবৃতি পড়েছিলেন। পূর্ণ বিবৃতি URL  covid19 @ ওয়ার্কসএফসিএ URL,0
194,কি দারুন. সিওলের পশ্চিমে ইনচিয়নে এক ব্যক্তি - যিনি  করোনভাইরাসকে চুক্তি করেছিলেন - তিনি গত 25 দিন ধরে তার লক্ষণগুলি এবং ক্রিয়াকলাপগুলি নথিভুক্ত করেছেন যেহেতু তিনি 38 টি পৃষ্ঠায় লক্ষণটি বিশদভাবে অনুভব করেছেন। তিনি বাড়িতে মুখোশ এবং গ্লোভস পরেছিলেন এবং সমস্ত 23 ঘনিষ্ঠ যোগাযোগ ভাইরাসের জন্য নেতিবাচক পরীক্ষিত হয়েছিল। URL,1
195,সুতরাং করোন ভাইরাস আপনার চীনার খাবার এন ট্র্যাভেলিং থেকে থামছে তবে এইচআইভি আপনার বাধা দেয় না raw URL,0
196,মিস করোনার আপনার আরও একটি কাজ করতে হবে,0
197,"অ্যালার্ট‼ ‼ ‼ করোনার ভাইরাসটি আন্তর্জাতিকভাবে ছাপা অ্যালবামগুলির মাধ্যমে ছড়িয়ে যেতে পারে। আপনার যদি বাড়িতে কোনও অ্যালবাম থাকে তবে কিছু গ্লোভস লাগান, সমস্ত অ্যালবামগুলিকে একটি বাক্সে রেখে আজ রাতে সামনের দরজার বাইরে রাখুন। সুরক্ষার জন্য আমি আজ রাতে সমস্ত বাক্স সংগ্রহ করছি। আপনার স্বাস্থ্য সম্পর্কে চিন্তা করুন।",1
198,কত লোকের  করোনভাইরাস পরীক্ষা হোয়াইট হাউসে একটি টেনিস মণ্ডপ তৈরির ব্যয় দ্বারা আচ্ছাদিত হতে পারে?,0
199,"এটি মারাত্মক মারাত্মক: আজ সকালে করোন-ভাইরাস নিয়ে কথা বলতে গিয়ে ট্রাম্প বলেছিলেন, 'আমরা এটি বন্ধ করে দিয়েছি। আমরা এটা বন্ধ করে দিয়েছি। ' এক সপ্তাহ আগে মার্কিন যুক্তরাষ্ট্রে 15 টি নিশ্চিত মামলা হয়েছে। আজ 233 জন আছে। ট্রাম্পের ইনকাম্পেটেন্স কিলস এক সপ্তাহে * 5,000 * থাকবে। URL",1
200,@ রিয়েলডোনাল্ড ট্রাম্প প্রশাসনের লোকদের অব্যাহত বিশাল পরীক্ষার ঘাটতির জন্য পদত্যাগ করা দরকার। @ পটাস জানুয়ারিতে  কোভিড_19 সম্পর্কে জানতেন। এবং  করোন ভাইরাস ছড়িয়ে দেওয়ার জন্য প্রয়োজনীয় একটি জিনিস করতে ব্যর্থ হন: এটি পরীক্ষা করার জন্য যাতে আমরা এটি ধারণ করতে পারি।,1
202,2014 সালে আপনি মলিটির জন্য যে মিথটি ভুল করেছিলেন সেগুলি হ'ল করোনার ভাইরাস ভ্যাকসিন,1
203,দাদার জন্য আড্ডায় একটি এফ আসুন,0
205,"@ সিএনবিসি-রিক সান্টেলি কেবল যুক্তি দিয়েছিলেন যে সবাই যদি এখনই  করোনভাইরাস পেয়ে যায় এবং বিশ্বের ২% মারা যায়, যাতে আর্থিক বাজারগুলি স্থিতিশীল হতে পারে। রিক রিপাবলিকানদের পছন্দ করেন, রিকের মতো হবেন না। এটি ভাইরাল হওয়া উচিত। votebluetosaveamerica URL",1
